invoice_id,invoice_amount,priority_tier,payment_blocked,escalation_required,escalation_decision_reason,normalized_priority_score,raw_priority_score,sla_hours,auto_resolved,auto_close_flag,communication_required,communication_draft,root_cause_categories,resolution_owners,exceptions_summary,skipped_exceptions_trace,decision_trace
FINAL-009,500000.0,HIGH,True,True,,100.0,595.0,4,False,False,False,Drafted communication for FINAL-009 regarding escalations.,Vendor Submission | Data Error | Procurement,AP Manager | AP Team | Procurement,Missing Required Data (1.00); Future Date (1.00); PO Not Found (1.00),[],Evaluated Missing Required Data with confidence 1.00. | Critical Priority applied: Missing Required Data on High Value Invoice (>10k). SLA reduced to 4h. | Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 100.0 from 3 evaluated exceptions (Raw: 595.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 15 points (invoice age = 30 days). | Assigned Priority Tier: HIGH
FINAL-007,6600.0,HIGH,True,True,,83.33,175.0,48,False,False,False,Drafted communication for FINAL-007 regarding escalations.,Data Error | Procurement,AP Team | Procurement,Future Date (1.00); PO Not Found (1.00),[],Evaluated Future Date with confidence 1.00. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 83.33 from 2 evaluated exceptions (Raw: 175.0). | Payment blocked by Future Date. | Escalation required by Future Date. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 33 days). | Assigned Priority Tier: HIGH
FINAL-005,250000.0,HIGH,True,True,,76.19,160.0,48,False,False,False,Drafted communication for FINAL-005 regarding escalations.,Vendor Master Data | Accounts Payable | Data Error,Vendor Master Team | AP Manager | AP Team,Vendor Mismatch (1.00); Amount Exceeds Tolerance (1.00); Future Date (1.00),[],Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 76.19 from 3 evaluated exceptions (Raw: 160.0). | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 44 days). | Assigned Priority Tier: HIGH
FINAL-001,10000.0,MEDIUM,True,True,,73.81,155.0,24,False,False,False,Drafted communication for FINAL-001 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 44 days). | Assigned Priority Tier: MEDIUM
FINAL-002,10000.0,MEDIUM,True,True,,73.81,155.0,24,False,False,False,Drafted communication for FINAL-002 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 44 days). | Assigned Priority Tier: MEDIUM
FINAL-004,10500.0,MEDIUM,True,True,,71.43,150.0,48,False,False,False,Drafted communication for FINAL-004 regarding escalations.,Accounts Payable | Data Error,AP Manager | AP Team,Amount Exceeds Tolerance (1.00); Future Date (1.00),[],Evaluated Amount Exceeds Tolerance with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 71.43 from 2 evaluated exceptions (Raw: 150.0). | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 44 days). | Assigned Priority Tier: MEDIUM
FINAL-006,7800.0,MEDIUM,True,True,,64.29,135.0,48,False,False,False,Drafted communication for FINAL-006 regarding escalations.,Finance Controls | Receiving | Data Error,Finance Controls | Receiving Team | AP Team,Currency Mismatch (1.00); GRN Not Received (1.00); Future Date (1.00),[],Evaluated Currency Mismatch with confidence 1.00. | Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 64.29 from 3 evaluated exceptions (Raw: 135.0). | Payment blocked by Currency Mismatch. | Escalation required by Currency Mismatch. | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 30 points (invoice age = 35 days). | Assigned Priority Tier: MEDIUM
FINAL-010,22000.0,MEDIUM,True,True,,64.29,135.0,48,False,False,False,Drafted communication for FINAL-010 regarding escalations.,Receiving | Data Error,Receiving Team | AP Team,GRN Not Received (1.00); Future Date (1.00),[],Evaluated GRN Not Received with confidence 1.00. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 64.29 from 2 evaluated exceptions (Raw: 135.0). | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 15 points (invoice age = 25 days). | Assigned Priority Tier: MEDIUM
FINAL-003,10000.0,MEDIUM,True,True,,59.52,125.0,48,False,False,False,Drafted communication for FINAL-003 regarding escalations.,Accounts Payable,AP Team,Potential Duplicate Invoice (0.85),[],Evaluated Potential Duplicate Invoice with confidence 0.85. | Evaluated Potential Duplicate Invoice with confidence 0.85. | Calculated Priority Score: 59.52 from 2 evaluated exceptions (Raw: 125.0). | Payment blocked by Potential Duplicate Invoice. | Escalation required by Potential Duplicate Invoice. | Payment blocked by Potential Duplicate Invoice. | Escalation required by Potential Duplicate Invoice. | Age Weight Applied: 30 points (invoice age = 43 days). | Assigned Priority Tier: MEDIUM
FINAL-008,17000.0,MEDIUM,True,True,,59.52,125.0,48,False,False,False,Drafted communication for FINAL-008 regarding escalations.,Receiving | Data Error,Receiving Team | AP Team,GRN Not Received (0.20); Future Date (1.00),[],Evaluated GRN Not Received with confidence 0.20. | Evaluated Future Date with confidence 1.00. | Calculated Priority Score: 59.52 from 2 evaluated exceptions (Raw: 125.0). | Payment blocked by GRN Not Received. | Escalation required by GRN Not Received. | Payment blocked by Future Date. | Escalation required by Future Date. | Age Weight Applied: 5 points (invoice age = 0 days). | Assigned Priority Tier: MEDIUM
