invoice_id,invoice_amount,priority_tier,payment_blocked,escalation_required,escalation_decision_reason,normalized_priority_score,raw_priority_score,sla_hours,auto_resolved,auto_close_flag,communication_required,communication_draft,root_cause_categories,resolution_owners,exceptions_summary,skipped_exceptions_trace,decision_trace
TC-012,120000.0,HIGH,True,True,,100.0,600.0,4,False,False,False,Drafted communication for TC-012 regarding escalations.,Vendor Submission | Procurement,AP Manager | Procurement,Missing Required Data (1.00); PO Not Found (1.00),[],Evaluated Missing Required Data with confidence 1.00. | Critical Priority applied: Missing Required Data on High Value Invoice (>10k). SLA reduced to 4h. | Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 100.0 from 2 evaluated exceptions (Raw: 600.0). | Payment blocked by Missing Required Data. | Escalation required by Missing Required Data. | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 32 days). | Assigned Priority Tier: HIGH
TC-018,15000.0,HIGH,True,True,,78.57,165.0,48,False,False,False,Drafted communication for TC-018 regarding escalations.,Procurement,Procurement,PO Not Found (1.00),[],Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 78.57 from 1 evaluated exceptions (Raw: 165.0). | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 15 points (invoice age = 26 days). | Assigned Priority Tier: HIGH
TC-004,5000.0,MEDIUM,True,True,,73.81,155.0,24,False,False,False,Drafted communication for TC-004 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 41 days). | Assigned Priority Tier: MEDIUM
TC-005,5000.0,MEDIUM,True,True,,73.81,155.0,24,False,False,False,Drafted communication for TC-005 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 41 days). | Assigned Priority Tier: MEDIUM
TC-006,5000.0,MEDIUM,True,True,,73.81,155.0,24,False,False,False,Drafted communication for TC-006 regarding escalations.,Accounts Payable,AP Manager,Exact Duplicate Invoice (1.00),[],Evaluated Exact Duplicate Invoice with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by Exact Duplicate Invoice. | Escalation required by Exact Duplicate Invoice. | Exact Duplicate Invoice has stop_further_checks=true. Remaining validations skip routing. | Age Weight Applied: 30 points (invoice age = 41 days). | Assigned Priority Tier: MEDIUM
TC-010,4500.0,MEDIUM,True,True,,73.81,155.0,48,False,False,False,Drafted communication for TC-010 regarding escalations.,Procurement,Procurement,PO Not Found (1.00),[],Evaluated PO Not Found with confidence 1.00. | Calculated Priority Score: 73.81 from 1 evaluated exceptions (Raw: 155.0). | Payment blocked by PO Not Found. | Escalation required by PO Not Found. | Age Weight Applied: 30 points (invoice age = 34 days). | Assigned Priority Tier: MEDIUM
TC-013,17500.0,MEDIUM,True,True,,71.43,150.0,48,False,False,False,Drafted communication for TC-013 regarding escalations.,Accounts Payable,AP Team,Potential Duplicate Invoice (0.85),[],Evaluated Potential Duplicate Invoice with confidence 0.85. | Evaluated Potential Duplicate Invoice with confidence 0.85. | Calculated Priority Score: 71.43 from 2 evaluated exceptions (Raw: 150.0). | Payment blocked by Potential Duplicate Invoice. | Escalation required by Potential Duplicate Invoice. | Payment blocked by Potential Duplicate Invoice. | Escalation required by Potential Duplicate Invoice. | Age Weight Applied: 30 points (invoice age = 31 days). | Assigned Priority Tier: MEDIUM
TC-014,88000.0,MEDIUM,True,True,,64.29,135.0,48,False,False,False,Drafted communication for TC-014 regarding escalations.,Vendor Master Data | Accounts Payable,Vendor Master Team | AP Manager,Vendor Mismatch (1.00); Amount Exceeds Tolerance (1.00),[],Evaluated Vendor Mismatch with confidence 1.00. | Evaluated Amount Exceeds Tolerance with confidence 1.00. | Calculated Priority Score: 64.29 from 2 evaluated exceptions (Raw: 135.0). | Payment blocked by Vendor Mismatch. | Escalation required by Vendor Mismatch. | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Age Weight Applied: 15 points (invoice age = 30 days). | Assigned Priority Tier: MEDIUM
TC-002,10500.0,MEDIUM,True,True,,61.9,130.0,48,False,False,False,Drafted communication for TC-002 regarding escalations.,Accounts Payable,AP Manager,Amount Exceeds Tolerance (1.00),[],Evaluated Amount Exceeds Tolerance with confidence 1.00. | Calculated Priority Score: 61.9 from 1 evaluated exceptions (Raw: 130.0). | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Age Weight Applied: 30 points (invoice age = 45 days). | Assigned Priority Tier: MEDIUM
TC-003,11500.0,MEDIUM,True,True,,61.9,130.0,48,False,False,False,Drafted communication for TC-003 regarding escalations.,Accounts Payable,AP Manager,Amount Exceeds Tolerance (1.00),[],Evaluated Amount Exceeds Tolerance with confidence 1.00. | Calculated Priority Score: 61.9 from 1 evaluated exceptions (Raw: 130.0). | Payment blocked by Amount Exceeds Tolerance. | Escalation required by Amount Exceeds Tolerance. | Age Weight Applied: 30 points (invoice age = 45 days). | Assigned Priority Tier: MEDIUM
